symbol,cap,sector,spot_price_comparison,ma_50,ma_100,ma_200
AAPL,3845293342720.0,Technology,True,243.01600000000005,225.40230000000003,222.30515
AAXJ,3154860288.0,Financial Services,True,89.72219999999999,86.26649999999998,80.2149
ABCB,4978719232.0,Financial Services,True,73.166,69.1575,64.82675
ABVX,6912909312.0,Healthcare,True,83.69460000000001,55.07989999999999,30.8052
ACLX,4682118656.0,Healthcare,True,78.01979999999999,72.8716,68.76979999999999
ACWI,22820503552.0,Financial Services,True,136.3294,132.38330000000002,125.54434999999998
ACWX,6856130560.0,Financial Services,True,64.32639999999999,62.56660000000001,59.1115
ADI,119015563264.0,Technology,True,243.81040000000004,237.86489999999998,223.31555
AEIS,7433750016.0,Industrials,True,166.1802,150.89509999999999,130.06040000000002
AEP,62153846784.0,Utilities,True,112.2102,109.1556,106.07035
AIQ,5933455872.0,Financial Services,True,47.869400000000006,45.6246,42.0648
AIRR,5523959296.0,Financial Services,True,94.0076,88.52419999999998,81.03225
ALNY,60700069888.0,Healthcare,True,458.28860000000003,397.246,328.11949999999996
AMAT,182066036736.0,Technology,True,189.61919999999998,185.98470000000006,173.6336
AMD,376956092416.0,Technology,True,179.94079999999997,163.0719,134.75055
AMKR,7794891776.0,Technology,True,27.271400000000003,24.301700000000004,22.3743
AMZN,2352519577600.0,Consumer Cyclical,True,225.34960000000004,222.5741,214.20965
ANGL,3124250112.0,Financial Services,True,29.4698,29.233099999999993,28.93425
APGE,3110772480.0,Healthcare,True,41.32639999999999,40.5742,39.077600000000004
ARGX,49669521408.0,Healthcare,True,744.8797999999999,664.6615,638.807
ARM,178452086784.0,Technology,True,148.6776,148.06369999999998,138.65935000000002
ARWR,5212309504.0,Healthcare,True,29.823800000000002,23.1792,19.68265
ASML,399521775616.0,Technology,True,881.7395999999999,819.1046000000001,765.7908
ASND,12217026560.0,Healthcare,True,199.60380000000004,187.2897,168.21439999999998
ATAT,5482039808.0,Consumer Cyclical,True,37.409,35.5278,31.71575
AVGO,1623469850624.0,Technology,True,330.09,302.3913,254.08165
AXSM,6410844160.0,Healthcare,True,120.17780000000002,113.0293,112.08115
AZN,258064105472.0,Healthcare,True,80.64999999999999,76.3419,73.74629999999999
BBIO,10158694400.0,Healthcare,True,52.282,48.110499999999995,41.10105000000001
BIIB,21725351936.0,Healthcare,True,142.5612,136.254,135.16865
BILI,11948002304.0,Technology,True,25.858400000000007,23.806000000000004,21.201900000000002
BND,374579331072.0,Financial Services,True,74.2312,73.62599999999999,73.12944999999999
BNDX,109849436160.0,Financial Services,True,49.424,49.376000000000005,49.187650000000005
BOTZ,3002893568.0,Financial Services,True,34.971599999999995,33.7294,32.2658
BSCQ,4233991936.0,Financial Services,True,19.564799999999998,19.543799999999997,19.513199999999998
BSCR,4157145088.0,Financial Services,True,19.724,19.6824,19.6142
BTSG,5830849536.0,Healthcare,True,26.843200000000003,24.1823,21.9967
BTSGU,5498997760.0,Healthcare,True,92.40639999999999,84.1372,77.53005
CAMT,5314808320.0,Technology,True,97.9514,91.27349999999998,82.30905000000001
CASY,19972978688.0,Consumer Cyclical,True,536.6402,521.4924000000001,473.97970000000004
CELC,3042318080.0,Healthcare,True,52.9304,36.4745,23.650850000000002
CELH,16154703872.0,Consumer Defensive,True,58.897600000000004,51.8887,41.50795
CGNX,7904685568.0,Technology,True,44.922799999999995,39.337599999999995,35.7008
CGON,3184099072.0,Healthcare,True,34.8036,30.5062,28.23705
CIBR,11156048896.0,Financial Services,True,74.8542,74.1949,70.29265
CIGI,8202577920.0,Real Estate,True,160.90980000000002,148.8035,137.3172
CINF,24415051776.0,Financial Services,True,155.77840000000003,152.1091,146.48535
CNTA,3150985984.0,Healthcare,True,20.7062,17.5648,16.175050000000002
COHR,18425518080.0,Technology,True,104.2104,98.62340000000003,87.2493
COMM,3489071104.0,Technology,True,15.801000000000002,12.077,8.552150000000001
COOP,13489140736.0,Financial Services,True,195.47980000000004,168.5222,139.81225130890053
CRUS,6689096192.0,Technology,True,120.03599999999999,111.9795,105.9307
CSCO,281408339968.0,Technology,True,68.21719999999999,67.917,64.28345000000002
CSQ,3031788032.0,Financial Services,True,18.929599999999997,18.4804,17.698
CSX,66338738176.0,Industrials,True,34.436400000000006,34.0556,32.33805
CYBR,25717475328.0,Technology,True,471.6030000000001,433.37889999999993,394.6303
DDOG,54085361664.0,Technology,True,141.7578,138.1868,127.3497
DGRW,16344316928.0,Financial Services,True,88.21719999999999,86.14489999999998,83.21619999999999
DLO,4308817920.0,Technology,True,14.4352,12.592399999999998,11.556400000000002
DOOO,4781726720.0,Consumer Cyclical,True,62.8656,56.108900000000006,48.21095
DORM,4711433728.0,Consumer Cyclical,True,154.5336,140.21380000000002,132.2645
DVY,24694304768.0,Financial Services,True,140.8346,137.49960000000002,134.6625
EA,50186743808.0,Technology,True,182.41899999999995,168.27009999999999,153.8938
EBAY,42982998016.0,Consumer Cyclical,True,92.95199999999998,86.57409999999999,76.9673
EBC,3670535680.0,Financial Services,True,17.5458,16.465899999999998,16.4577
EMB,14877308928.0,Financial Services,True,94.85999999999999,93.4295,91.7674
EMXC,12874076160.0,Financial Services,True,66.7494,64.73159999999999,60.54495000000001
ENSG,10606442496.0,Healthcare,True,172.1368,160.9745,147.1686
ESGD,10218248192.0,Financial Services,True,92.48499999999999,90.61730000000001,86.3364
ESGE,5428837888.0,Financial Services,True,42.376,40.7618,37.89475
ESGU,14926791680.0,Financial Services,True,143.50199999999998,139.27900000000002,132.52425
ESLT,22527895552.0,Industrials,True,490.24619999999993,466.96960000000007,410.49795
ETSY,7113021952.0,Consumer Cyclical,True,64.0746,61.0124,55.054449999999996
EUFN,4520794112.0,Financial Services,True,33.892199999999995,32.9373,30.418249999999997
EVRG,17916256256.0,Utilities,True,73.99119999999999,71.48329999999999,68.8635
EWBC,14087672832.0,Financial Services,True,104.9102,102.75139999999999,97.0078
EXAS,12011085824.0,Healthcare,True,53.4156,52.264599999999994,51.1286
EXC,48156495872.0,Utilities,True,44.860600000000005,44.18439999999999,43.76690000000001
EXPE,25849800704.0,Consumer Cyclical,True,216.6396,197.20879999999994,184.79364999999999
FCFS,6891591680.0,Financial Services,True,149.2682,140.31529999999998,129.79185
FER,45749964800.0,Industrials,True,57.6892,54.952200000000005,50.201350000000005
