symbol,cap,sector,ma_50,ma_100,ma_200,spot_price_comparison
AAOI,3528704512.0,Technology,38.4928,33.4152,28.15455,True
AAPL,3888777003008.0,Technology,266.1126,266.0776,241.17574999999997,True
AAXJ,3709531904.0,Financial Services,97.78479999999999,95.4429,89.54825000000001,True
ACGL,35715035136.0,Financial Services,95.51980000000002,92.8585,91.82469999999999,True
ACMR,4320122880.0,Technology,50.728,43.728,35.54285,True
ACWI,27246481408.0,Financial Services,144.1886,142.0057,135.7172,True
ACWX,8816849920.0,Financial Services,69.7028,67.8487,64.60634999999999,True
ADI,173841891328.0,Technology,301.08979999999997,271.9617,252.7936,True
AEIS,12504260608.0,Industrials,249.17860000000002,223.6668,181.36635,True
AIRR,8851825664.0,Financial Services,109.0404,103.0873,93.9242,True
AMAT,297947168768.0,Technology,302.4198,267.0222,221.41885,True
AMGN,201990242304.0,Healthcare,341.3416,327.151,306.9563,True
APA,10306688000.0,Energy,25.8594,24.9249,22.41155,True
ASML,569614598144.0,Technology,1269.906,1150.1673,960.7746000000001,True
ASND,13810570240.0,Healthcare,216.19080000000002,210.8746,194.89595,True
ASO,3919526912.0,Consumer Cyclical,55.71059999999999,52.158,50.15950000000001,True
AUGO,6230838784.0,Basic Materials,59.242399999999996,47.70400000000001,41.09605263157895,True
AZN,633135824896.0,Healthcare,171.31080000000003,128.6651,101.2314,True
BIIB,28182040576.0,Healthcare,179.7452,169.2557,150.67655,True
BKR,61478162432.0,Energy,52.2804,50.13440000000001,45.860600000000005,True
BPOP,9838541824.0,Financial Services,130.9986,123.925,118.81905,True
BTSG,7405265408.0,Healthcare,38.5164,35.405499999999996,29.226100000000002,True
CAMT,6777982464.0,Technology,132.8458,122.84219999999999,102.63225,True
CASY,24731799552.0,Consumer Cyclical,603.6096,576.3056,538.86895,True
CENX,4913521152.0,Basic Materials,43.8622,36.877399999999994,28.71105,True
CFLT,10979686400.0,Technology,30.343000000000004,26.4742,24.1087,True
CGON,4648791552.0,Healthcare,48.0336,44.897200000000005,36.2213,True
CHRW,22545074176.0,Industrials,175.2864,159.0149,133.7947,True
CINF,25431097344.0,Financial Services,163.70940000000002,162.1922,156.18689999999998,True
CME,110762172416.0,Financial Services,282.19599999999997,276.7762,275.2763,True
COCO,3072928000.0,Consumer Defensive,54.322399999999995,49.4759,42.820150000000005,True
COHR,39355170816.0,Technology,201.0072,168.6031,130.24795,True
COKE,15252642816.0,Consumer Defensive,157.21099999999998,148.9228,131.6792,True
COLB,7559562240.0,Financial Services,29.547800000000002,28.014599999999994,26.37455,True
COMM,4107513088.0,Technology,18.6404,17.5698,13.7762,True
COO,16713866240.0,Healthcare,82.00479999999999,77.1488,74.8043,True
CRUS,7253459456.0,Technology,128.1636,125.881,116.89759999999998,True
CSCO,312926699520.0,Technology,77.8996,75.31400000000001,71.00019999999999,True
CSX,78677983232.0,Industrials,37.646,36.5633,34.821099999999994,True
CYTK,8306679296.0,Healthcare,63.6638,62.7551,50.12995,True
DGRW,16238906368.0,Financial Services,91.0026,89.9728,87.28740000000002,True
DLTR,27435712512.0,Consumer Defensive,127.39220000000002,114.07549999999999,107.8765,True
DVY,27449589760.0,Financial Services,147.888,144.37490000000003,140.0299,True
EA,50150842368.0,Technology,203.1176,202.12439999999998,180.6027,True
EMB,16898935808.0,Financial Services,96.5476,96.2542,94.36664999999999,True
