symbol,cap,sector,industry,ma_50,ma_100,ma_200,spot_price_comparison
AAOI,11209508864.0,Technology,Semiconductors,85.57560000000001,59.098,43.12350000000001,True
AAON,7705000448.0,Industrials,Construction,91.306,88.32619999999999,88.14875,True
ACLS,3478993152.0,Technology,Semiconductors,89.8749,88.38895000000001,84.93307499999999,True
ADI,169741254656.0,Technology,Semiconductors,329.055,304.6821,271.9572,True
AEIS,14478829568.0,Industrials,Electrical Equipment & Parts,319.64279999999997,272.5333,219.1087,True
AIRR,9405352960.0,Financial Services,Asset Management,115.208,109.1488,100.5727,True
ALGM,7139238912.0,Technology,Semiconductors,35.4794,32.194,31.6069,True
ALGN,13428440064.0,Healthcare,Medical - Devices,178.23696199999998,168.73998099999997,159.17039050000002,True
ALKS,5661931520.0,Healthcare,Biotechnology,31.4348,30.601599999999998,29.895349999999997,True
ALM,6028103680.0,Basic Materials,Other Precious Metals,16.621544,12.521472000000001,9.185270466321244,True
AMAT,311547461632.0,Technology,Semiconductors,353.55800000000005,315.4565,256.10524999999996,True
AMKR,15296061440.0,Technology,Semiconductors,47.904302,45.826351,36.2902755,True
APLS,5221855744.0,Healthcare,Biotechnology,24.453852,23.742226000000002,23.546713,True
ASML,584825569280.0,Technology,Semiconductors,1395.3418,1281.6352,1074.5511999999999,True
AUGO,8950364160.0,Basic Materials,Other Precious Metals,78.238,64.5316,48.91898936170213,True
AVT,5947344384.0,Technology,Technology Distributors,63.713888000000004,56.751244,54.59652199999999,True
AXSM,9365256192.0,Healthcare,Biotechnology,170.4788,166.106,142.29455,True
BKR,60697456640.0,Energy,Oil & Gas Equipment & Services,60.8405,55.06775,50.088975,True
BPOP,9430359040.0,Financial Services,Banks - Regional,138.047,130.4503,124.492,True
BTSG,8924552192.0,Healthcare,Medical - Healthcare Information Services,41.501400000000004,39.3568,32.7031,True
CAMT,8268764160.0,Technology,Semiconductors,159.5392,140.02270000000001,119.25904999999999,True
CENX,6346242560.0,Basic Materials,Aluminum,54.421899999999994,46.15905,35.661825,True
CGNX,9280959488.0,Technology,"Hardware, Equipment & Parts",50.6676,44.2684,42.805099999999996,True
